time,high,low,open,volumefrom,volumeto,close
1745658000,94460.73,94167.61,94352.61,218.44,20598668.55,94307.41
1745654400,94761.89,94318.32,94626.82,348.72,32954064.64,94352.61
1745650800,94839.18,94622.49,94675.01,272.28,25798153.68,94626.82
1745647200,94777.23,94635.25,94667.31,124.72,11811122.52,94675.01
1745643600,94740.88,94427.79,94576.2,226.13,21387320.39,94667.31
1745640000,94866.9,94554.9,94786.02,217.57,20600757.23,94576.2
1745636400,95110.79,94759.88,95057.07,228.19,21654548.27,94786.02
1745632800,95206.44,94768.64,95078.34,380.57,36145203.16,95057.07
1745629200,95258.03,94822.95,94952.79,401.78,38200042.77,95078.34
1745625600,95000.83,94624.0,94711.24,518.67,49185823.44,94952.79
1745622000,95037.08,94689.98,94929.81,361.26,34252572.74,94711.24
1745618400,95051.87,94677.74,94693.98,274.48,26049165.14,94929.81
1745614800,95122.52,94562.22,94967.37,590.2,55971813.28,94693.98
1745611200,95453.87,94876.28,95410.23,833.56,79287780.42,94967.37
1745607600,95435.85,94970.47,95065.35,2739.5,260837260.09,95410.23
1745604000,95322.29,94586.15,94586.16,1882.36,178851962.84,95065.35
1745600400,95629.92,94429.63,95301.45,1896.72,180373476.28,94586.16
1745596800,95457.8,94808.87,95164.43,1637.74,155888513.85,95301.45
1745593200,95821.66,94907.69,95541.58,3661.09,349178094.17,95164.43
1745589600,95924.19,94464.12,94468.17,7158.26,681001825.41,95541.58
1745586000,94747.61,94005.24,94468.11,1877.51,177353362.78,94468.17
1745582400,95032.66,94339.03,94662.05,2192.99,207777225.0,94468.11
1745578800,94690.49,93676.85,93676.85,842.66,79416145.97,94662.05
1745575200,94000.87,93620.73,93856.57,593.04,55608487.0,93676.85
1745571600,93900.46,93587.82,93716.51,376.12,35253301.76,93856.57
1745568000,93926.39,93655.68,93814.53,469.89,44056302.12,93716.51
1745564400,93898.52,93534.31,93579.24,1016.19,95217071.25,93814.53
1745560800,93643.52,93231.44,93235.07,329.51,30792574.05,93579.24
1745557200,93457.24,93050.04,93088.09,252.12,23522247.52,93235.07
1745553600,93529.35,93079.96,93345.74,334.96,31250898.86,93088.09
1745550000,93417.75,92883.11,93023.97,600.98,55974768.16,93345.74
1745546400,93908.68,92924.7,93706.5,892.69,83315089.98,93023.97
1745542800,94483.85,93662.65,93948.03,976.99,91894409.85,93706.5
1745539200,94052.97,93573.69,94022.48,692.32,64949041.99,93948.03
1745535600,94047.54,93423.69,93479.81,886.44,83138484.41,94022.48
1745532000,93637.82,93339.34,93398.74,388.89,36366985.79,93479.81
1745528400,93620.23,93088.87,93452.47,463.32,43273730.85,93398.74
1745524800,93702.77,93358.27,93622.75,1050.65,98265305.66,93452.47
1745521200,93734.07,93244.24,93425.71,2273.56,212713892.92,93622.75
1745517600,93506.45,93034.58,93043.18,886.99,82769169.65,93425.71
1745514000,93478.78,92729.1,93401.11,1110.38,103288210.54,93043.18
1745510400,93645.68,93249.48,93249.59,1395.65,130507424.63,93401.11
1745506800,93502.72,93058.27,93137.15,1170.8,109240400.47,93249.59
1745503200,93440.62,92667.35,92857.17,2380.97,221540191.56,93137.15
1745499600,93017.95,92604.59,92803.4,1931.8,179278438.7,92857.17
1745496000,92821.27,92456.12,92641.04,893.78,82825859.77,92803.4
1745492400,92659.98,92299.01,92573.05,365.72,33816462.72,92641.04
1745488800,92671.65,92384.26,92485.54,298.32,27607292.97,92573.05
1745485200,92577.82,92002.63,92037.54,405.38,37417611.09,92485.54
1745481600,92377.1,91693.21,92221.64,975.93,89808232.43,92037.54
1745478000,92651.28,92121.49,92423.4,469.76,43393642.73,92221.64
1745474400,92682.05,92283.41,92603.92,447.4,41376644.4,92423.4
1745470800,92918.86,92552.12,92771.85,233.2,21626555.32,92603.92
1745467200,92853.53,92409.9,92697.72,620.21,57470339.05,92771.85
1745463600,93349.87,92672.47,93137.05,850.05,79061675.54,92697.72
1745460000,93659.99,93083.44,93533.14,544.91,50899204.17,93137.05
1745456400,93643.8,93116.1,93413.2,677.73,63275384.65,93533.14
1745452800,93819.91,93295.33,93729.23,768.71,71899958.86,93413.2
1745449200,93879.34,93573.62,93825.75,451.29,42301799.93,93729.23
1745445600,93825.77,93280.5,93520.14,637.86,59651150.34,93825.75
1745442000,93954.63,93336.11,93694.63,638.13,59817068.53,93520.14
1745438400,93924.35,93533.14,93559.65,991.78,92990062.56,93694.63
1745434800,93664.25,92995.84,93657.26,3204.44,299270820.09,93559.65
1745431200,94243.95,93657.26,93924.13,1404.38,131988805.09,93657.26
1745427600,93985.61,93559.91,93671.41,1722.08,161545234.39,93924.13
1745424000,93772.72,92923.6,93215.79,2346.23,219083973.64,93671.41
1745420400,93257.28,91943.03,92967.0,3604.29,333406024.41,93215.79
1745416800,93694.74,92708.55,93050.9,3159.71,294293955.13,92967.0
